Year,Catch
1960,1.699
1961,2.923
1962,3.034
1963,7.496
1964,16.192
1965,27.821
1966,25.711
1967,19.652
1968,27.041
1969,31.505
1970,28.187
1971,28.626
1972,33.997
1973,37.925
1974,29.183
1975,29.183
1976,33.33
1977,39.358
1978,34.965
1979,33.706
1980,40.901
1981,34.166
1982,42.733
1983,38.795
1984,43.498
1985,56.609
1986,54.843
1987,61.047
1988,74.494
1989,75.743
1990,132.29
1991,115.508
1992,68.26
1993,66.073
1994,104.848
1995,99.448
1996,146.499
1997,178.145
1998,291.586
1999,284.713
2000,246.89
2001,227.583
2002,264.336
2003,257.637
2004,273.699
2005,303.022
2006,275.356
2007,304.333
2008,290.856
2009,256.144
2010,288.865
2011,282.871
2012,271.777
2013,283.366
2014,268.737
2015,264.515
2016,264.456
2017,197.905
2018,202.117
2019,203.075
2020,209.604
2021,233.74
2022,224.224
2023,234.617
